Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Domain,Domain Category,corn_acres_planted,CORN - ACRES PLANTED  -  <b>CV (%)</b>,"CORN, GRAIN - ACRES HARVESTED  -  <b>VALUE</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>CV (%)</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>"
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,NORTHEAST,30,MADISON,119,,,0,,CORN,TOTAL,NOT SPECIFIED,151000,0.1,139200,0.6,24360000,4.4,175,4.4
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,NORTHEAST,30,STANTON,167,,,0,,CORN,TOTAL,NOT SPECIFIED,102500,0.2,98800,0.6,16124000,3.1,163.2,3
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,NORTHEAST,30,WAYNE,179,,,0,,CORN,TOTAL,NOT SPECIFIED,128500,0.1,122100,0.6,19573000,3,160.3,3
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,NORTHWEST,10,BOX BUTTE,13,,,0,,CORN,TOTAL,NOT SPECIFIED,94700,0.1,84600,0.7,13561000,8.3,160.3,8.3
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,NORTHWEST,10,CHEYENNE,33,,,0,,CORN,TOTAL,NOT SPECIFIED,68400,0.2,65900,0.6,6550000,6.3,99.4,6.2
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,NORTHWEST,10,DEUEL,49,,,0,,CORN,TOTAL,NOT SPECIFIED,51600,0.3,50000,0.7,5925000,12,118.5,11.9
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,NORTHWEST,10,GARDEN,69,,,0,,CORN,TOTAL,NOT SPECIFIED,42100,0.3,36900,0.8,5210000,14.9,141.2,14.9
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,NORTHWEST,10,MORRILL,123,,,0,,CORN,TOTAL,NOT SPECIFIED,72800,0.1,65700,0.6,11373000,2.9,173.1,2.9
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,NORTHWEST,10,SCOTTS BLUFF,157,,,0,,CORN,TOTAL,NOT SPECIFIED,75000,0.2,62900,0.6,11731000,3.8,186.5,3.8
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,NORTHWEST,10,SIOUX,165,,,0,,CORN,TOTAL,NOT SPECIFIED,15800,1.2,12000,1.5,1938000,8.3,161.5,8.2
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,SOUTH,80,ADAMS,1,,,0,,CORN,TOTAL,NOT SPECIFIED,180500,0.1,177500,0.6,36299000,4.1,204.5,4.1
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,SOUTH,80,FRANKLIN,61,,,0,,CORN,TOTAL,NOT SPECIFIED,102500,0.2,100900,0.6,19857000,8.5,196.8,8.5
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,SOUTH,80,FURNAS,65,,,0,,CORN,TOTAL,NOT SPECIFIED,129500,0.2,112900,1.8,13187000,8,116.8,7.9
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,SOUTH,80,GOSPER,73,,,0,,CORN,TOTAL,NOT SPECIFIED,89400,0.4,87200,0.8,18016000,5.8,206.6,5.8
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,SOUTH,80,HARLAN,83,,,0,,CORN,TOTAL,NOT SPECIFIED,114500,0.2,99600,0.6,19093000,6.9,191.7,6.9
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,SOUTH,80,KEARNEY,99,,,0,,CORN,TOTAL,NOT SPECIFIED,172000,0.1,165600,0.8,33584000,3.8,202.8,3.8
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,SOUTH,80,PHELPS,137,,,0,,CORN,TOTAL,NOT SPECIFIED,190500,0.1,185300,0.7,42100000,2.9,227.2,2.8
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,SOUTH,80,WEBSTER,181,,,0,,CORN,TOTAL,NOT SPECIFIED,98200,0.3,92200,0.7,13581000,12.7,147.3,12.7
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,SOUTHEAST,90,CLAY,35,,,0,,CORN,TOTAL,NOT SPECIFIED,178000,0.1,175100,0.7,33917000,3.1,193.7,3
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,SOUTHEAST,90,FILLMORE,59,,,0,,CORN,TOTAL,NOT SPECIFIED,190500,0.1,187600,0.7,35006000,3.4,186.6,3.3
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,SOUTHEAST,90,GAGE,67,,,0,,CORN,TOTAL,NOT SPECIFIED,193500,0.1,191600,0.7,31537000,4.3,164.6,4.2
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,SOUTHEAST,90,JEFFERSON,95,,,0,,CORN,TOTAL,NOT SPECIFIED,114500,0.1,110300,0.6,15530000,8.4,140.8,8.4
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,SOUTHEAST,90,JOHNSON,97,,,0,,CORN,TOTAL,NOT SPECIFIED,67600,0.3,67000,0.8,11631000,3.3,173.6,3.2
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,SOUTHEAST,90,NEMAHA,127,,,0,,CORN,TOTAL,NOT SPECIFIED,95300,0.2,94700,0.8,17984000,4.6,189.9,4.6
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,SOUTHEAST,90,PAWNEE,133,,,0,,CORN,TOTAL,NOT SPECIFIED,69600,0.3,69200,0.8,12027000,3.6,173.8,3.5
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,SOUTHEAST,90,RICHARDSON,147,,,0,,CORN,TOTAL,NOT SPECIFIED,114000,0.2,113000,0.7,22007000,2.4,194.8,2.2
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,SOUTHEAST,90,SALINE,151,,,0,,CORN,TOTAL,NOT SPECIFIED,150000,0.1,148600,0.7,23419000,4.9,157.6,4.8
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,SOUTHEAST,90,THAYER,169,,,0,,CORN,TOTAL,NOT SPECIFIED,166500,0.1,155200,0.6,25856000,7.5,166.6,7.5
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,SOUTHWEST,70,CHASE,29,,,0,,CORN,TOTAL,NOT SPECIFIED,150000,0.1,143700,0.6,23682000,4.6,164.8,4.5
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,SOUTHWEST,70,DUNDY,57,,,0,,CORN,TOTAL,NOT SPECIFIED,91000,0.2,84300,0.7,13092000,6.7,155.3,6.7
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,SOUTHWEST,70,HAYES,85,,,0,,CORN,TOTAL,NOT SPECIFIED,73400,0.3,72300,0.7,9580000,6.4,132.5,6.4
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,SOUTHWEST,70,HITCHCOCK,87,,,0,,CORN,TOTAL,NOT SPECIFIED,68700,0.4,63900,0.9,7003000,8.3,109.6,8.3
SURVEY,2023,YEAR,,COUNTY,NEBRASKA,31,SOUTHWEST,70,LINCOLN,111,,,0,,CORN,TOTAL,NOT SPECIFIED,199000,0.2,187800,0.6,35626000,6.5,189.7,6.5
SURVEY,2023,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,CORN,TOTAL,NOT SPECIFIED,9950000,,9500000,,1729000000,,182,
